label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
paper_max_T300,A,1.0471975511965976,0.3333333333333333,1,-0.1382301328771871,-0.1382301328771871,1.0,1.0,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,2,-0.20983707521680695,-0.10491853760840347,1.0,1.0,0.24098649531343475
paper_max_T300,A,1.0471975511965976,0.3333333333333333,3,-0.22967509933281782,-0.07040592545933111,0.9999999999999999,0.9999999999999999,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,4,-0.23904014360601122,-0.059076344877881104,0.5627311812047027,1.0,0.2865420715358755
paper_max_T300,A,1.0471975511965976,0.3333333333333333,5,-0.26044383623453404,-0.05195261812446672,0.6681070613560268,1.0,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,6,-0.3054898946469129,-0.056332512509244426,0.4891001043411561,0.7480887774591148,0.27721067242902275
paper_max_T300,A,1.0471975511965976,0.3333333333333333,7,-0.3645140780717797,-0.05725375863096793,0.5164930319392825,0.8087959801093656,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,8,-0.4275047795008087,-0.06107133062671738,0.45318169448351575,0.531094327640214,0.26930709321103957
paper_max_T300,A,1.0471975511965976,0.3333333333333333,9,-0.47948475163714677,-0.05785810433551497,0.49251154734130365,0.5445294619778759,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,10,-0.5234783148241362,-0.05749684125499255,0.47548599609594755,0.5257378072845749,0.2899518856964045
paper_max_T300,A,1.0471975511965976,0.3333333333333333,11,-0.5635982060904499,-0.054862015405820364,0.5205706716270139,0.5548482335816327,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,12,-0.6101964975202807,-0.05620712512193399,0.5044262086946006,0.5461382584432264,0.31144517192431564
paper_max_T300,A,1.0471975511965976,0.3333333333333333,13,-0.6668653829412521,-0.05825152835643238,0.5348796865488306,0.5585800649204344,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,14,-0.7312689752216679,-0.06169606264846145,0.5098500984389023,0.5467061539634416,0.31473861001898684
paper_max_T300,A,1.0471975511965976,0.3333333333333333,15,-0.7962696701759402,-0.06405173679670223,0.5348820587846975,0.5523929727248235,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,16,-0.8566826770647595,-0.0653969310539334,0.5117439081288714,0.5481271745831996,0.3160970524360276
paper_max_T300,A,1.0471975511965976,0.3333333333333333,17,-0.9105517526719007,-0.06546071799002329,0.5416464986152193,0.557507628788682,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,18,-0.9612270094021653,-0.06495029608654468,0.5239744103498905,0.5569300521391226,0.3253348793032698
paper_max_T300,A,1.0471975511965976,0.3333333333333333,19,-1.0138307241641646,-0.06556402133433875,0.5525860947587684,0.5638768717789155,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,20,-1.0703180582773912,-0.06603646317481754,0.5313263512520799,0.5630242157345701,0.3299457863151116
paper_max_T300,A,1.0471975511965976,0.3333333333333333,21,-1.1310336196212991,-0.06806126208003854,0.5540351077030073,0.5655955111524186,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,22,-1.191805471876238,-0.06886794138625135,0.5265843983986344,0.561403587133079,0.3255126375310975
paper_max_T300,A,1.0471975511965976,0.3333333333333333,23,-1.249893076702139,-0.06982618785558159,0.5491683142011604,0.5638859154142438,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,24,-1.3035586157713617,-0.06913134406374633,0.5227766263890773,0.5586628388120664,0.3226721475154562
paper_max_T300,A,1.0471975511965976,0.3333333333333333,25,-1.3544529393098523,-0.0687341214582432,0.5485971986152932,0.5628268950318058,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,26,-1.4046151541755725,-0.06757697948037045,0.5242419375584711,0.5594583729517103,0.32371775096250094
paper_max_T300,A,1.0471975511965976,0.3333333333333333,27,-1.4569983844037564,-0.0676983284861552,0.5492447472760127,0.5633799838438799,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,28,-1.5113198741539993,-0.0674986707516882,0.5213986144727006,0.5583164425890087,0.32112009118929963
paper_max_T300,A,1.0471975511965976,0.3333333333333333,29,-1.5670067283846194,-0.06802072578560309,0.5441791037894742,0.56103092628137,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,30,-1.6217347308440235,-0.06788002380951058,0.5139118953766422,0.5529828653582818,0.3154197316483906
paper_max_T300,A,1.0471975511965976,0.3333333333333333,31,-1.674210065932975,-0.06744453597310524,0.5384675795711463,0.5567437332740086,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,32,-1.724467109841859,-0.0665706136373887,0.5107122959351433,0.5499102727700944,0.3132819035254344
paper_max_T300,A,1.0471975511965976,0.3333333333333333,33,-1.7737536993404284,-0.06565305061840776,0.5378437669066818,0.5557168239170139,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,34,-1.823805239783427,-0.06505810825624869,0.5112690767749165,0.550266413018705,0.31374233083463166
paper_max_T300,A,1.0471975511965976,0.3333333333333333,35,-1.8758521668294827,-0.06480962680674218,0.5375665556045134,0.5557895098502429,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,36,-1.9297819780070018,-0.06503845698325839,0.5090132094928386,0.5486958844682472,0.31201137721644356
paper_max_T300,A,1.0471975511965976,0.3333333333333333,37,-1.9842474968988455,-0.06499466940720672,0.534418055892281,0.5534820627778408,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,38,-2.038083173862895,-0.0651376408529441,0.5060755762344327,0.5460816766952831,0.30997361991104777
paper_max_T300,A,1.0471975511965976,0.3333333333333333,39,-2.0900861949471405,-0.06455087489818356,0.5333766016392112,0.552228693090136,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,40,-2.1411457817700352,-0.06431541396712576,0.507619766023742,0.5468713433873192,0.3113269687775156
paper_max_T300,A,1.0471975511965976,0.3333333333333333,41,-2.1922714979756215,-0.06381747316286784,0.536007532428135,0.5538495610337701,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,42,-2.245027013994373,-0.06399311517327799,0.5106381142644263,0.5490519230617392,0.31364452672338006
paper_max_T300,A,1.0471975511965976,0.3333333333333333,43,-2.2996607003184275,-0.06416791060429344,0.5375425954786941,0.5548135141035142,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,44,-2.355576824563168,-0.06478368721409455,0.5109602632992455,0.5492132350567616,0.3138959421782447
paper_max_T300,A,1.0471975511965976,0.3333333333333333,45,-2.411131698373091,-0.0649991588013627,0.5373160352986791,0.554502911353177,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,46,-2.465552121984971,-0.06527740309560326,0.5114944316912895,0.5494878119565224,0.314364886751367
paper_max_T300,A,1.0471975511965976,0.3333333333333333,47,-2.518524429149286,-0.06513974313057513,0.5390367926599681,0.5555697883811618,0.0
paper_max_T300,A,1.0471975511965976,0.3333333333333333,48,-2.571179281732701,-0.06512115382768036,0.5147181913468581,0.5518018652252106,0.3168466436294902
paper_max_T300,A,1.0471975511965976,0.3333333333333333,49,-2.624678929200261,-0.06522552968856193,0.542032987426546,0.5575372680544626,0.0
