label,sequence,phi,phi_over_pi,t,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,0,0.0,0.0,0.9999999999999998,0.9999999999999998,0.9999999999999998
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,1,-0.13823013287718688,-0.13823013287718688,0.9999999999999998,0.9999999999999998,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,2,-0.20983707521680695,-0.10491853760840347,1.0,1.0,0.24098649531343475
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,3,-0.22967509933281782,-0.070405925459331,0.9999999999999997,0.9999999999999997,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,4,-0.23885960615152624,-0.05898607615063872,0.5627311812047024,0.9999999999999999,0.26773089408638173
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,5,-0.2624896912777521,-0.05427253389979608,0.6681070613560266,1.0,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,6,-0.31019957958461575,-0.058843366825678256,0.45658866168816026,0.7480887774591145,0.24460595562524423
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,7,-0.3714464407665756,-0.06051376314853002,0.483590866565327,0.8087959801093654,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,8,-0.43310836007078635,-0.0628165041578066,0.41226206094736734,0.49987784282488534,0.23491485475567542
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,9,-0.48108804883854317,-0.05848802780163287,0.45604232567110914,0.5160969817254629,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,10,-0.5192735829676325,-0.056631210998389636,0.43568902100454754,0.49401311689072686,0.2552744709462148
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,11,-0.5552208965990277,-0.0537122612075423,0.4832543583366006,0.5269212674853203,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,12,-0.5999949843586307,-0.055097817619592204,0.45821530484524003,0.510665960809572,0.27126778756798053
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,13,-0.6563899176978816,-0.05715472358141621,0.48979148526258226,0.5244032302449548,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,14,-0.7198912899388157,-0.06044272197442191,0.4582492168352602,0.504294098119996,0.27181752016372407
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,15,-0.781079588160364,-0.061533696070473876,0.4882002389008034,0.5135187515762156,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,16,-0.8354033922842494,-0.06200360913017361,0.4648004251852493,0.507344746553866,0.27716008751108456
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,17,-0.8828218815850195,-0.06095625829845758,0.5006981942603306,0.521733732452926,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,18,-0.9295524833953746,-0.06063638433313934,0.48184609500781594,0.5204484814513668,0.2892195726047651
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,19,-0.9814898171006838,-0.06145039400157598,0.5134429268780625,0.5299383788845684,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,20,-1.0397967578680483,-0.06296767252154567,0.48847228730928244,0.5261346755342093,0.2931571253860274
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,21,-1.1015345253712514,-0.06497468891939762,0.514409806234249,0.5307027382458118,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,22,-1.1612873662318273,-0.06599353374477807,0.486628131383058,0.5257045204607563,0.2914425849910822
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,23,-1.2157605563282043,-0.06626392579148283,0.5148932546366318,0.5318266407085798,0.0
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,24,-1.265730394604649,-0.06554965525951512,0.49078991938374694,0.5289151855868488,0.29443575163730146
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,25,-1.3150941706123271,-0.06536526943928034,0.5206431711698192,0.535527289521747,0.0
